2026-04-07 00:01:29,159 | pipeline             | INFO     | Pipeline mode selected: realtime
2026-04-07 00:01:29,161 | pipeline.realtime    | INFO     | Realtime pipeline started.
2026-04-07 00:01:29,161 | pipeline.realtime    | INFO     | Realtime pipeline started.
2026-04-07 00:01:29,161 | pipeline.realtime    | INFO     | Streaming packets...
2026-04-07 00:01:29,161 | pipeline.realtime    | INFO     | Streaming packets...
2026-04-07 00:01:29,165 | detection.anomaly_detector | INFO     | Loaded IsolationForest model from models\saved\isolation_forest.pkl
2026-04-07 00:01:29,171 | classification.attack_classifier | INFO     | Loaded RandomForestClassifier from models\saved\random_forest.pkl
2026-04-07 00:01:29,174 | capture.tshark_runner | INFO     | Starting TShark stream: tshark -l -i 5 -f ip and (tcp port 80 or tcp port 443) -T fields -e ip.src -e ip.dst -e frame.len -e frame.time_epoch -e tcp.flags -e ip.proto -E separator=	 -E header=n -E quote=n -E occurrence=f
2026-04-07 00:01:34,580 | features.extractor   | INFO     | Feature extraction pipeline started — 1 packets.
2026-04-07 00:01:34,581 | features.extractor   | INFO     | Created DataFrame: 1 rows × 6 columns.
2026-04-07 00:01:34,585 | features.extractor   | INFO     | Engineered 10 feature columns: frame_len, ip_proto, is_tcp, is_udp, tcp_flag_syn, tcp_flag_ack, tcp_flag_fin, tcp_flag_rst, tcp_flag_psh, hour_of_day
2026-04-07 00:01:34,587 | features.extractor   | INFO     | Selected 12 columns for model input (10 feature + IP context).
2026-04-07 00:01:34,587 | features.extractor   | INFO     | Feature extraction complete — output shape: 1 × 12.
2026-04-07 00:01:34,596 | detection.anomaly_detector | INFO     | Scored 1 packets. Anomalies flagged: 0
2026-04-07 00:01:34,597 | classification.attack_classifier | INFO     | No anomalies found; skipped classifier model inference.
2026-04-07 00:01:34,830 | features.extractor   | INFO     | Feature extraction pipeline started — 1 packets.
2026-04-07 00:01:34,831 | features.extractor   | INFO     | Created DataFrame: 1 rows × 6 columns.
2026-04-07 00:01:34,835 | features.extractor   | INFO     | Engineered 10 feature columns: frame_len, ip_proto, is_tcp, is_udp, tcp_flag_syn, tcp_flag_ack, tcp_flag_fin, tcp_flag_rst, tcp_flag_psh, hour_of_day
2026-04-07 00:01:34,837 | features.extractor   | INFO     | Selected 12 columns for model input (10 feature + IP context).
2026-04-07 00:01:34,837 | features.extractor   | INFO     | Feature extraction complete — output shape: 1 × 12.
2026-04-07 00:01:34,847 | detection.anomaly_detector | INFO     | Scored 1 packets. Anomalies flagged: 0
